393,38	10,04
393,62	10,04
393,85	-0,96
394,09	-4,96
394,32	-19,96
394,55	-5,96
394,79	-3,96
395,02	9,04
395,25	15,04
395,49	-10,96
395,72	3,04
395,95	-1,96
396,19	-9,96
396,42	0,04
396,65	9,04
396,89	0,04
397,12	2,04
397,35	11,04
397,59	-14,96
397,82	1,04
398,05	-9,96
398,29	-3,96
398,52	-3,96
398,75	-11,96
398,99	23,04
399,22	23,04
399,45	15,04
399,69	52,04
399,92	20,04
400,15	23,04
400,38	38,04
400,62	26,04
400,85	50,04
401,08	43,04
401,32	36,04
401,55	38,04
401,78	33,04
402,02	30,04
402,25	36,04
402,48	18,04
402,71	21,04
402,95	22,04
403,18	21,04
403,41	41,04
403,65	34,04
403,88	20,04
404,11	40,04
404,35	32,04
404,58	33,04
404,81	36,04
405,04	40,04
405,28	37,04
405,51	47,04
405,74	21,04
405,98	47,04
406,21	52,04
406,44	43,04
406,67	44,04
406,91	31,04
407,14	32,04
407,37	43,04
407,60	38,04
407,84	44,04
408,07	40,04
408,30	60,04
408,54	43,04
408,77	29,04
409,00	29,04
409,23	56,04
409,47	43,04
409,70	48,04
409,93	76,04
410,16	20,04
410,40	40,04
410,63	60,04
410,86	55,04
411,09	62,04
411,33	56,04
411,56	47,04
411,79	60,04
412,02	41,04
412,26	60,04
412,49	39,04
412,72	61,04
412,95	54,04
413,19	67,04
413,42	42,04
413,65	53,04
413,88	62,04
414,11	55,04
414,35	65,04
414,58	37,04
414,81	57,04
415,04	60,04
415,28	40,04
415,51	68,04
415,74	63,04
415,97	52,04
416,20	70,04
416,44	68,04
416,67	51,04
416,90	70,04
417,13	60,04
417,37	51,04
417,60	70,04
417,83	50,04
418,06	78,04
418,29	74,04
418,53	55,04
418,76	75,04
418,99	87,04
419,22	91,04
419,45	76,04
419,69	68,04
419,92	61,04
420,15	92,04
420,38	74,04
420,61	67,04
420,85	84,04
421,08	63,04
421,31	87,04
421,54	78,04
421,77	84,04
422,00	96,04
422,24	74,04
422,47	79,04
422,70	68,04
422,93	96,04
423,16	93,04
423,40	84,04
423,63	89,04
423,86	96,04
424,09	81,04
424,32	101,04
424,55	106,04
424,79	79,04
425,02	100,04
425,25	94,04
425,48	96,04
425,71	90,04
425,94	108,04
426,18	79,04
426,41	89,04
426,64	94,04
426,87	100,04
427,10	103,04
427,33	108,04
427,56	88,04
427,80	122,04
428,03	104,04
428,26	116,04
428,49	112,04
428,72	98,04
428,95	122,04
429,18	110,04
429,42	123,04
429,65	113,04
429,88	96,04
430,11	103,04
430,34	113,04
430,57	120,04
430,80	117,04
431,04	117,04
431,27	99,04
431,50	124,04
431,73	116,04
431,96	131,04
432,19	126,04
432,42	148,04
432,65	118,04
432,89	117,04
433,12	119,04
433,35	136,04
433,58	125,04
433,81	151,04
434,04	141,04
434,27	110,04
434,50	120,04
434,73	124,04
434,97	118,04
435,20	126,04
435,43	137,04
435,66	133,04
435,89	144,04
436,12	136,04
436,35	136,04
436,58	138,04
436,81	156,04
437,04	134,04
437,28	138,04
437,51	132,04
437,74	146,04
437,97	157,04
438,20	157,04
438,43	165,04
438,66	166,04
438,89	146,04
439,12	165,04
439,35	146,04
439,58	160,04
439,81	165,04
440,04	140,04
440,28	144,04
440,51	173,04
440,74	147,04
440,97	156,04
441,20	168,04
441,43	161,04
